City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Provideniya,RU,2021-04-25 18:38:41,64.3833,-173.3,34.75,83,76,3.24,broken clouds
247,Tchibanga,GA,2021-04-25 18:38:41,-2.85,11.0333,74.3,95,15,2.42,few clouds
248,Richards Bay,ZA,2021-04-25 18:38:42,-28.783,32.0377,66.88,87,15,3.31,few clouds
249,Las Juntas,MX,2021-04-25 18:38:42,19.4167,-104.7,82.4,78,20,9.22,few clouds
250,Port Hedland,AU,2021-04-25 18:35:09,-20.3167,118.5667,68.0,88,0,8.05,clear sky
251,Ndele,CF,2021-04-25 18:38:42,8.4109,20.6473,72.36,85,100,7.83,light rain
252,Grand Gaube,MU,2021-04-25 18:36:09,-20.0064,57.6608,78.01,81,100,8.99,overcast clouds
253,Benghazi,LY,2021-04-25 18:38:43,32.1167,20.0667,62.89,82,0,14.29,clear sky
254,Luganville,VU,2021-04-25 18:38:43,-15.5333,167.1667,77.67,85,97,2.86,overcast clouds
255,Meulaboh,ID,2021-04-25 18:38:44,4.1363,96.1285,77.0,85,72,4.29,broken clouds
256,Leningradskiy,RU,2021-04-25 18:35:07,69.3833,178.4167,18.07,89,100,2.37,overcast clouds
